RecordedDate,Q1.1,Q149,Q138,Q328_4_TEXT,Q328,Q1.3_17_TEXT,Q1.3,Q140,Q139,Q141,Q144,Q150,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q145_9,Q145_10,Q145_11,Q145_12,Q145_13,Q145_14,Q145_15,Q145_16,Q146_1,Q146_2,Q146_3,Q146_4,Q146_5,Q146_6,Q146_7,Q146_8,Q146_9,Q146_10,Q146_11,Q146_12,Q146_13,Q146_14,Q146_15,Q146_16,Q147,Q148,Gender,Age,Race,Race_8_TEXT
Recorded Date,What is your age?,Please rate how positive or negative you believe your professor’s feedback was.,Please rate how confident you believe your professor is in your abilities.,What gender identity do you most identify with? - Prefer to self-describe - Text,What gender identity do you most identify with? - Selected Choice,"What is your ethnicity?  Please mark the one choice that describes the ethnic category with which you primarily identify. - Some other ethnicity or origin, please specify: - Text",What is your ethnicity?  Please mark the one choice that describes the ethnic category with which you primarily identify. - Selected Choice,How positive or negative do you feel after this interaction with your professor?,How encouraging would you rate this feedback?,"You have room for one more class in your schedule next quarter. After the meeting with your professor, which of the following classes are you most likely to choose to take next quarter?","If your major (or the major you are most seriously considering if you are undecided) had only 100 students, where would you rank your standing in the major?",How likely would you be to go back to this professor for further feedback?,"Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel that I belong to my major’s community.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel like an outsider in my major.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel accepted in my major.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel respected.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel disregarded.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel valued.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel neglected.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel excluded.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel like I fit in.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I feel comfortable.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I wish I could fade into the background and not be noticed.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I try to say as little as possible.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I enjoy being an active participant.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I wish I were invisible.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I trust the testing materials to be unbiased.","Please answer the following questions about your experience in your major generally, not in the context of the above scenario. - I have trust that I do not have to constantly prove myself.",Click to write the question text - I trust my instructors to be committed to helping me learn.,"Click to write the question text - Even when I do poorly, I trust my instructors to have faith in my potential.",Click to write the question text - I worry my abilities aren’t good enough to do well in my major.,Click to write the question text - I often wonder if I have what it takes to succeed in my major.,Click to write the question text - I feel confident about my abilities in my major.,Click to write the question text - I sometimes feel like other students in my major have skills that I don’t.,"Click to write the question text - When I’m doing work in my major, I feel a sense of competence.",Click to write the question text - My major requires some abilities that I’m not sure I possess.,"Click to write the question text - I worry that no matter how hard I try, I won’t be able to perform successfully in my major.","Click to write the question text - When doing work in my major, I feel I have the skills that I need.",Click to write the question text - I’m not sure that I’m cut out for my major.,Click to write the question text - I have no doubts that I possess or can acquire the abilities my major requires.,Click to write the question text - I feel similar to the kinds of people who have what it takes to succeed in my major.,Click to write the question text - I’m not certain I “fit in” intellectually in my major.,Click to write the question text - There are many people in my major I could go to for help on a homework assignment.,"Click to write the question text - I am similar to most of the students in my classes (e.g. race, gender, socio-economic status etc.)","What is your major (or intended major, if undeclared)?",Which best describes you?,What is your gender?,How old are you? (enter the number),What does your racial/ethnic heritage include?(check all that apply) - Selected Choice,What does your racial/ethnic heritage include?(check all that apply) - Other - Text
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID222_TEXT""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID223_4_TEXT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID224_17_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID253""}","{""ImportId"":""QID252""}","{""ImportId"":""QID254""}","{""ImportId"":""QID256""}","{""ImportId"":""QID255""}","{""ImportId"":""QID257_1""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID257_4""}","{""ImportId"":""QID257_5""}","{""ImportId"":""QID257_6""}","{""ImportId"":""QID257_7""}","{""ImportId"":""QID257_8""}","{""ImportId"":""QID257_9""}","{""ImportId"":""QID257_10""}","{""ImportId"":""QID257_11""}","{""ImportId"":""QID257_12""}","{""ImportId"":""QID257_13""}","{""ImportId"":""QID257_14""}","{""ImportId"":""QID257_15""}","{""ImportId"":""QID257_16""}","{""ImportId"":""QID258_1""}","{""ImportId"":""QID258_2""}","{""ImportId"":""QID258_3""}","{""ImportId"":""QID258_4""}","{""ImportId"":""QID258_5""}","{""ImportId"":""QID258_6""}","{""ImportId"":""QID258_7""}","{""ImportId"":""QID258_8""}","{""ImportId"":""QID258_9""}","{""ImportId"":""QID258_10""}","{""ImportId"":""QID258_11""}","{""ImportId"":""QID258_12""}","{""ImportId"":""QID258_13""}","{""ImportId"":""QID258_14""}","{""ImportId"":""QID258_15""}","{""ImportId"":""QID258_16""}","{""ImportId"":""QID259_TEXT""}","{""ImportId"":""QID260""}","{""ImportId"":""QID32""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_8_TEXT""}"
2020-01-07 14:18:44,18,"4
Positive
",4,,Female,,Black or African American,4,4,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),4,4,1,4,4,1,5,1,1,4,4,1,1,5,1,5,2,5,5,5,5,1,1,2,5,5,5,5,1,3,5,4,4,psychology,U.S. Student,Female,18,"African,Hispanic/Latino",
2020-01-07 22:14:57,18,"2
Negative
",2,,Female,,White,"1
Very negative
",3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),"1
Very unlikely
",5,1,5,5,1,5,1,1,5,5,5,2,4,1,5,5,4,3,1,1,5,4,5,2,1,5,1,5,5,1,4,4,Psychology,U.S. Student,Female,18,Caucasian,
2020-01-08 12:38:45,19,"3
Neutral
","5
Very Confident
",,Male,,White,3,2,A difficult class in your major that is well known for making students more successful after they graduate.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),"5
Very likely
",3,3,4,4,2,4,1,1,4,4,1,2,3,1,5,3,5,5,3,3,4,5,3,3,3,3,3,3,3,2,5,4,Biochemistry,U.S. Student,Male,19,Caucasian,
2020-01-08 18:07:54,19,"2
Negative
",2,,Female,,Asian,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the top 30 best students (Better than 70 other students),3,5,1,5,5,1,5,1,1,5,5,1,1,1,5,5,5,5,5,1,1,5,3,5,1,1,5,1,5,5,1,5,4,family human services,U.S. Student,Female,19,Asian or Pacific Islander,
2020-01-08 18:35:06,18,"2
Negative
",2,,Female,,White,2,3,A difficult class in your major that is well known for making students more successful after they graduate.,In the 30 worst students (70 other students are better than you),2,3,3,3,3,3,3,3,3,3,4,1,3,3,2,4,4,1,2,3,3,3,4,4,3,4,3,3,4,4,4,2,3,"General Social Science: Crime, Law, and Society",U.S. Student,Female,18,"Caucasian,Asian or Pacific Islander",
2020-01-08 19:44:17,18,"4
Positive
",3,,Female,,White,3,3,An easy class not in your major.,Around the middle of the class (not the top 30 students nor the bottom 30 students. One of 40 students in the middle),3,1,5,2,3,2,2,3,2,1,2,4,4,3,5,4,4,4,3,5,4,2,4,2,4,4,2,5,2,2,4,1,4,human physiology (im changing),U.S. Student,Female,18,Caucasian,
2020-01-08 22:35:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 23:01:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 23:05:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
