"","x"
"1","human physiology"
"2","Psychology/pre-nursing"
"3","nursing"
"4","Economics"
"5","human physiology"
"6","Psychology and German"
"7","Psychology"
"8","Psychology"
"9","Art & Technology"
"10","English"
"11","Biochemistry"
"12","Journalism"
"13","Business administration"
"14","Human Physiology"
"15","Advertising"
"16","CIS"
"17","HPHY"
"18","Sociology and Spanish"
"19","psychology"
"20","Biology"
"21","Communication Disorders and Sciences"
"22","Biology"
"23","Pre-Education"
"24","Psychology"
"25","psychology"
"26","psychology"
"27","Communication Disorders and Sciences & General Music Studies"
"28","environmental science/humanities"
"29","Spanish and Family and Human Services"
"30","Psychology"
"31","economics and psychology"
"32","Psychology"
"33","Product Design"
"34","Psych"
"35","psychology"
"36","Psychology"
"37","finance/economics"
"38","Psych"
"39","Computer and Information Science"
"40","Business"
"41","business"
"42","human physiology"
"43","journalism"
"44","Business"
"45","Psychology"
"46","Business Administration"
"47","psy"
"48","Family and Human Services"
"49","psychology"
"50","human physiology"
"51","Marine Biology"
"52","Sociology/Spanish"
"53","Psychology"
"54","Human Phys, Italian"
"55","Political Science"
"56","International studies"
"57","Business administration"
"58","English"
"59","psychology"
"60","Business"
"61","Psychology"
"62","Psychology, sociology"
"63","Business Administration"
"64","Psychology"
"65","Economics"
"66","Psychology"
"67","Advertising"
"68","Architecture"
"69","Business"
"70","Psychology"
"71","Family and human studies"
"72","Pre-major Journalism"
"73","Chinese"
"74","Sociology"
"75","Business"
"76","psychology"
"77","intended major was architecture"
"78","Human Physiology"
"79","Psychology"
"80","Psychology"
"81","CIS"
"82","Intended major is either psychology or environmental studies"
"83","Sports Business"
"84","Psychology"
"85","Psychology"
"86","Psychology"
"87","Psychology"
"88","Business"
"89","Neuroscience"
"90","Business Administration"
"91","Archaeology"
"92","archaeology"
"93","Psychology"
"94","Psychology"
"95","Business"
"96","Linguistics"
"97","Business Administration"
"98","Psychology"
"99","business undeclared"
"100","Psych"
"101","Psychology"
"102","Psychology"
"103","Business administration"
"104","Psychology"
"105","psy"
"106","Landscape Architecture"
"107","Psychology"
"108","Communication Disorders & Sciences"
"109","psychology"
"110","Sports Business"
"111","Law"
"112","psy"
"113","Communication Disorders and Sciences"
"114","Psychology!"
"115","Psychology"
"116","Business"
"117","psychology, pre-med"
"118","Business"
"119","Communication Disorders and Sciences"
"120","psychology"
"121","General Social Science"
"122","biology"
"123","Business"
"124","undeclared"
"125","Communication Disorders and Sciences"
"126","psychology and PPPM"
"127","Advertising"
"128","Psychology"
"129","pre-edu"
"130","Human Physiology"
"131","Business"
"132","Biology"
"133","pre-journalism"
"134","Business"
"135","sports management"
"136","General Science"
"137","Communication Disorders and Sciences"
"138","humanities"
"139","psychology"
"140","Psychology"
"141","Human Phys"
"142","psychology"
"143","FHS and Business"
"144","psychology"
"145","undeclared"
"146","business administration"
"147","Journalism"
"148","psychology/family human services"
"149","Human Physiology"
"150","psychology"
"151","Business"
"152","Psych"
"153",""
"154","Psychology"
"155","Human Physiology"
"156","Music General and Psychology"
"157","psychology"
"158","psychology"
"159","psychology"
"160","Sociology and Psychology"
"161","psychology"
"162","chemistry and biology"
"163","Political Science"
"164","Psychology, Communication Disorders"
"165","Accounting"
"166","Advertising"
"167","Human Physiology"
"168","Business"
"169","International Studies"
"170","psychology"
"171","psychology"
"172","psychology"
"173","Psychology"
"174","Journalism"
"175","psychology"
"176","GSS and Spanish"
"177","human physiology"
"178","Accounting"
"179","Psychology"
"180","Economics"
"181","Computer and Information Science"
"182","marketing"
"183","psychology"
"184","Psychology"
"185","No clue"
"186","Human Physiology"
"187","Psychology"
"188","psych"
"189","psychology"
"190","Psychology"
"191","Business"
"192","Psychology"
"193","Business"
"194","Psychology"
"195","journalism"
"196","Psychology"
"197","psychology"
"198","Psychology"
"199","Biochemistry"
"200","family human services"
"201","General Social Science: Crime, Law, and Society"
"202","human physiology (im changing)"
"203","Human Physiology"
"204","Journalism"
"205","public relations/journalism"
"206","Psychology/biology"
"207","LINGUISTICS"
"208","biochemistry"
"209","Family and Human Services"
"210","psy"
"211","Family and Human Services"
"212","Human Physiology"
"213","Music"
"214","human physiology"
"215","Psychology "
"216","Human Physiology"
"217","Philosophy"
"218","cinema studies"
"219","Psychology"
"220","Exploring"
"221","Human Physiology"
"222","Communications Disorders and Sciences"
"223","Human Phys"
"224","PSY"
"225","Human Physiology"
"226","Psychology"
"227","FHS"
"228","Psychology "
"229","Family and Human Services"
"230","anthropology"
"231","Human Physiology"
"232","Human Physiology"
"233","psychology"
"234","Education"
"235","Psychology  "
"236","Romance Languages"
"237","Human Physiology "
"238","Human Physiology"
"239","Psychology "
"240","Music Education "
"241","Biology"
"242","CIS"
"243","Business"
"244","Communication Disorders and Sciences"
"245","Communication Disorders and Sciences"
"246","communication disorders"
"247","Psychology"
"248","Economics"
"249","Business"
"250","Psychology, Ethnic Studies"
"251","Journalism "
"252","psychology"
"253","human phys"
"254","psych"
"255","Psychology"
"256","general science"
"257","Pre-education"
"258","Biology"
"259","Psychology "
"260","History"
"261","Pyschology"
"262","Sociology"
"263","Advertising"
"264","Public relations"
"265","PPPM"
"266","sociology"
"267","Psychology"
"268","Psychology"
"269","English"
"270","General Social Sciences"
"271","Psychology"
"272","psy"
"273","psychology "
"274","PPPM, Public policy, planning, management"
"275","Computer Science"
"276","Psychology and Family Human Services "
"277","Business"
"278","Psychology"
"279","Psychology"
"280","Psychology "
"281","Business"
"282","Journalism "
"283","Linguistics, Spanish"
"284","psych???"
"285","law"
"286","Psychology"
"287","General Music/Computer Science"
"288","biology"
"289","cultural anthropology "
"290","Psychology"
"291","psychology "
"292","Human Physiology"
"293","psychology"
"294","Psychology"
"295","Psychology"
"296","Human Physiology "
"297","economics"
"298","General social science "
"299","human physiology"
"300","Psychology"
"301","Business Admin"
"302","Communications disorders and sciences"
"303","political science"
"304","Psychology"
"305","Product Design"
"306","JOURNALISM"
"307","Computer Science"
"308","Psychology"
"309","psychology"
"310","Music Technology"
"311","Child Education"
"312","Biology"
"313","Business"
"314","Human Physiology"
"315","Business"
"316","Economics"
"317","Communication Disorders and Sciences"
"318","Psychology"
"319","psychology"
"320","Biochemistry"
"321","Public Relations "
"322","Public Relations"
"323","Psychology "
"324","Business"
"325","Journalism"
"326","Business"
"327","Business Administration"
"328","Psychology + Biology"
"329","business"
"330","Psychology"
"331","Business"
"332","architecture"
"333","Linguistics"
"334","Human Physiology"
"335","Communications"
"336","Business"
"337","English on a pre-law track"
"338","Family and human services"
"339","Political Science"
"340","journalism"
"341","human phys"
"342","Linguistics "
"343","Music"
"344","Computer Science"
"345","Journalism"
"346","Computer Science"
"347","Psychology with Latin American Studies and Spanish minors"
"348","Computer Science"
"349","Business Administration"
"350","Biology, Art and Design"
"351","Family and Human Services"
